Level,Date and Time,Source,Event ID,Task Category
Information,7/2/2020 10:15:58 AM,Microsoft-Windows-Directory-Services-SAM,16962,None,"Remote calls to the SAM database are being restricted using the default security descriptor: O:SYG:SYD:(A;;RC;;;BA).
For more information please see http://go.microsoft.com/fwlink/?LinkId=787651."
Information,7/2/2020 10:15:58 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \SystemRoot\System32\Config\SECURITY was cleared updating 88 keys and creating 4 modified pages.
Information,7/2/2020 10:15:58 AM,Microsoft-Windows-Wininit,14,None,"Credential Guard configuration: 0x0, 0"
Information,7/2/2020 10:15:58 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \SystemRoot\System32\Config\DEFAULT was cleared updating 300 keys and creating 43 modified pages.
Information,7/2/2020 10:15:58 AM,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,7/2/2020 10:15:58 AM,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Information,7/2/2020 10:15:57 AM,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,7/2/2020 10:15:57 AM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 3 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (3 state(s))

Performance state type: ACPI Performance (P) / Throttle (T) States
Nominal Frequency (MHz): 1901
Maximum performance percentage: 100
Minimum performance percentage: 40
Minimum throttle percentage: 4"
Information,7/2/2020 10:15:57 AM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 1 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (3 state(s))

Performance state type: ACPI Performance (P) / Throttle (T) States
Nominal Frequency (MHz): 1901
Maximum performance percentage: 100
Minimum performance percentage: 40
Minimum throttle percentage: 4"
Information,7/2/2020 10:15:57 AM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 2 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (3 state(s))

Performance state type: ACPI Performance (P) / Throttle (T) States
Nominal Frequency (MHz): 1901
Maximum performance percentage: 100
Minimum performance percentage: 40
Minimum throttle percentage: 4"
Information,7/2/2020 10:15:57 AM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 0 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (3 state(s))

Performance state type: ACPI Performance (P) / Throttle (T) States
Nominal Frequency (MHz): 1901
Maximum performance percentage: 100
Minimum performance percentage: 40
Minimum throttle percentage: 4"
Information,7/2/2020 10:15:56 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \Device\HarddiskVolume1\EFI\Microsoft\Boot\BCD was cleared updating 67 keys and creating 6 modified pages.
Information,7/2/2020 10:15:56 AM,Microsoft-Windows-Kernel-General,15,None,Hive \SystemRoot\System32\Config\SOFTWARE was reorganized with a starting size of 91611136 bytes and an ending size of 91598848 bytes.
Information,7/2/2020 10:15:49 AM,MEIx64,2,None,Intel(R) Management Engine Interface driver has started successfully.
Information,7/2/2020 10:15:49 AM,Microsoft-Windows-Ntfs,98,None,Volume \\?\Volume{c2469c5e-cca2-4fee-946f-5df2920fa5a8} (\Device\HarddiskVolume4) is healthy.  No action is needed.
Warning,7/2/2020 10:15:49 AM,Microsoft-Windows-Kernel-PnP,219,(212),The driver \Driver\WudfRd failed to load for the device ACPI\ACPI0008\4&1df6a035&0.
Information,7/2/2020 10:15:49 AM,Microsoft-Windows-DriverFrameworks-UserMode,10118,Startup of the UMDF reflector,"UMDF reflector is unable to connect to service control manager (SCM). This is expected during boot, when SCM has not started yet. Will retry when it starts."
Information,7/2/2020 10:15:49 AM,Microsoft-Windows-Kernel-Power,172,(203),"Connectivity state in standby: Disconnected, Reason: NIC compliance"
Information,7/2/2020 10:15:49 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'npsvctrig' (10.0, ‎1977‎-‎09‎-‎12T17:19:34.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/2/2020 10:15:48 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'FileCrypt' (10.0, ‎2011‎-‎10‎-‎30T17:56:49.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/2/2020 10:15:48 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'aswSnx' (10.0, ‎2019‎-‎09‎-‎26T13:43:54.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/2/2020 10:15:48 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'aswSP' (10.0, ‎2019‎-‎09‎-‎26T14:45:52.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/2/2020 10:15:48 AM,Microsoft-Windows-Ntfs,98,None,Volume C: (\Device\HarddiskVolume3) is healthy.  No action is needed.
Information,7/2/2020 10:15:47 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'Wof' (10.0, ‎2096‎-‎10‎-‎27T15:24:16.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/2/2020 10:15:47 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'FileInfo' (10.0, ‎1989‎-‎07‎-‎13T03:15:12.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/2/2020 10:15:44 AM,Microsoft-Windows-Kernel-General,20,(6),"The leap second configuration has been updated.
Reason: Leap second data initialized from registry during boot
Leap seconds enabled: true
New leap second count: 0
Old leap second count: 0"
Information,7/2/2020 10:15:44 AM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x0.
Information,7/2/2020 10:15:44 AM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,7/2/2020 10:15:44 AM,Microsoft-Windows-Kernel-Boot,20,(31),The last shutdown's success status was true. The last boot's success status was true.
Information,7/2/2020 10:15:44 AM,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,7/2/2020 10:15:44 AM,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,7/2/2020 10:15:44 AM,Microsoft-Windows-Kernel-Boot,153,(62),Virtualization-based security (policies: 0) is disabled.
Information,7/2/2020 10:15:44 AM,Microsoft-Windows-Kernel-General,12,(1),The operating system started at system time ‎2020‎-‎07‎-‎02T08:15:42.500000000Z.
Information,5/22/2020 10:02:04 PM,Microsoft-Windows-Kernel-General,13,(2),The operating system is shutting down at system time ‎2020‎-‎05‎-‎22T20:02:04.816428100Z.
Information,5/22/2020 10:02:04 PM,Microsoft-Windows-Kernel-Power,109,(103),"The kernel power manager has initiated a shutdown transition.

Shutdown Reason: Kernel API"
Information,5/22/2020 10:01:59 PM,Microsoft-Windows-WLAN-AutoConfig,4001,None,"WLAN AutoConfig service has successfully stopped.
"
Warning,5/22/2020 10:01:59 PM,Microsoft-Windows-WLAN-AutoConfig,10002,None,"WLAN Extensibility Module has stopped.

Module Path: C:\WINDOWS\System32\bcmihvsrv64.dll
"
Information,7/2/2020 10:15:59 AM,EventLog,6013,None,The system uptime is 17 seconds.
Information,7/2/2020 10:15:59 AM,EventLog,6005,None,The Event log service was started.
Information,7/2/2020 10:15:59 AM,EventLog,6009,None,Microsoft (R) Windows (R) 10.00. 18362  Multiprocessor Free.
Information,5/22/2020 10:01:59 PM,Microsoft-Windows-Dhcp-Client,50037,Service State Event,DHCPv4 client service is stopped. ShutDown Flag value is 1
Information,5/22/2020 10:01:59 PM,Microsoft-Windows-Dhcp-Client,50106,Service State Event,DHCPv4 is waiting on DHCPv6 service to stop
Information,5/22/2020 10:01:59 PM,Microsoft-Windows-DHCPv6-Client,51047,Service State Event,DHCPv6 client service is stopped. ShutDown Flag value is 1
Information,5/22/2020 10:01:59 PM,Microsoft-Windows-Dhcp-Client,50105,Service State Event,DHCPv4 client ProcessDHCPRequestForever received TERMINATE_EVENT
Information,5/22/2020 10:01:59 PM,Microsoft-Windows-Dhcp-Client,50104,Service State Event,DHCPv4 client received shutdown notification
Information,5/22/2020 10:01:59 PM,EventLog,6006,None,The Event log service was stopped.
Error,5/22/2020 10:01:56 PM,Microsoft-Windows-Bits-Client,16392,None,The BITS service failed to start.  Error 0x80004015.
Information,5/22/2020 10:01:54 PM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Information,5/22/2020 10:01:52 PM,User32,1074,None,"The process C:\WINDOWS\system32\winlogon.exe (DESKTOP-ST7G6K7) has initiated the restart of computer DESKTOP-ST7G6K7 on behalf of user DESKTOP-ST7G6K7\Deivid for the following reason: No title for this reason could be found
 Reason Code: 0x500ff
 Shutdown Type: restart
 Comment: "
Information,5/22/2020 10:01:49 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\WINDOWS\AppCompat\Programs\Amcache.hve was cleared updating 22 keys and creating 17 modified pages.
Information,5/22/2020 10:01:49 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Deivid\AppData\Local\Packages\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy\Settings\settings.dat was cleared updating 5 keys and creating 1 modified pages.
Information,5/22/2020 10:01:46 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Deivid\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\Settings\settings.dat was cleared updating 51 keys and creating 16 modified pages.
Information,5/22/2020 10:01:44 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Deivid\AppData\Local\Packages\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Information,5/22/2020 10:01:41 PM,Service Control Manager,7026,None,"The following boot-start or system-start driver(s) did not load: 
dam
EhStorClass"
Error,5/22/2020 10:01:41 PM,Service Control Manager,7023,None,"The KMS-R@1n service terminated with the following error: 
The parameter is incorrect."
Warning,5/22/2020 10:01:39 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,5/22/2020 10:01:39 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,5/22/2020 10:01:38 PM,Microsoft-Windows-WLAN-AutoConfig,10001,None,"WLAN Extensibility Module has successfully started.

Module Path: C:\WINDOWS\System32\bcmihvsrv64.dll
"
Information,5/22/2020 10:01:38 PM,Microsoft-Windows-WLAN-AutoConfig,4000,None,"WLAN AutoConfig service has successfully started.
"
Information,5/22/2020 10:01:37 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \SystemRoot\System32\Config\bbimigrate\BBI was cleared updating 1 keys and creating 1 modified pages.
Information,5/22/2020 10:01:35 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Deivid\AppData\Local\Microsoft\Windows\UsrClass.dat was cleared updating 9303 keys and creating 952 modified pages.
Information,5/22/2020 10:01:35 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Deivid\ntuser.dat was cleared updating 5066 keys and creating 526 modified pages.
Information,5/22/2020 10:01:35 PM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Warning,5/22/2020 10:01:34 PM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
Information,5/22/2020 10:01:34 PM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,5/22/2020 10:01:34 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'aswMonFlt' (10.0, ‎2019‎-‎10‎-‎29T12:15:36.000000000Z) has successfully loaded and registered with Filter Manager."
Information,5/22/2020 10:01:34 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'storqosflt' (10.0, ‎2084‎-‎07‎-‎24T07:29:44.000000000Z) has successfully loaded and registered with Filter Manager."
Information,5/22/2020 10:01:34 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎2001‎-‎10‎-‎06T02:23:35.000000000Z) has successfully loaded and registered with Filter Manager."
Information,5/22/2020 10:01:34 PM,Microsoft-Windows-FilterManager,1,None,"File System Filter 'CldFlt' (Version 10.0, ‎2001‎-‎10‎-‎06T02:23:35.000000000Z) unloaded successfully."
Information,5/22/2020 10:01:34 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎2001‎-‎10‎-‎06T02:23:35.000000000Z) has successfully loaded and registered with Filter Manager."
Information,5/22/2020 10:01:34 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'luafv' (10.0, ‎1974‎-‎08‎-‎09T15:33:30.000000000Z) has successfully loaded and registered with Filter Manager."
Information,5/22/2020 10:01:34 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'wcifs' (10.0, ‎2027‎-‎07‎-‎25T04:04:32.000000000Z) has successfully loaded and registered with Filter Manager."
Information,5/22/2020 10:01:34 PM,Microsoft-Windows-DHCPv6-Client,51046,Service State Event,DHCPv6 client service is started
Information,5/22/2020 10:01:34 PM,Microsoft-Windows-Dhcp-Client,50103,Service State Event,DHCPv4 client registered for shutdown notification
Information,5/22/2020 10:01:34 PM,Microsoft-Windows-Dhcp-Client,50036,Service State Event,DHCPv4 client service is started
Information,5/22/2020 10:01:33 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \SystemRoot\System32\Config\BBI was cleared updating 566 keys and creating 134 modified pages.
Information,5/22/2020 10:01:33 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\WINDOWS\ServiceProfiles\NetworkService\NTUSER.DAT was cleared updating 43 keys and creating 17 modified pages.
Information,5/22/2020 10:01:33 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\WINDOWS\ServiceProfiles\LocalService\NTUSER.DAT was cleared updating 53 keys and creating 15 modified pages.
Information,5/22/2020 10:01:33 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \SystemRoot\System32\Config\SAM was cleared updating 72 keys and creating 7 modified pages.
Information,5/22/2020 10:01:33 PM,Microsoft-Windows-Directory-Services-SAM,16962,None,"Remote calls to the SAM database are being restricted using the default security descriptor: O:SYG:SYD:(A;;RC;;;BA).
For more information please see http://go.microsoft.com/fwlink/?LinkId=787651."
Information,5/22/2020 10:01:33 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \SystemRoot\System32\Config\SECURITY was cleared updating 88 keys and creating 4 modified pages.
Information,5/22/2020 10:01:32 PM,Microsoft-Windows-Wininit,14,None,"Credential Guard configuration: 0x0, 0"
Information,5/22/2020 10:01:32 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \SystemRoot\System32\Config\DEFAULT was cleared updating 376 keys and creating 53 modified pages.
Information,5/22/2020 10:01:32 PM,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
